,Title,Website,'America' on homepage,America on subpage,'Europe' on homepage,Europe on subpage,'Asia' on homepage,Asia on subpage,'Africa' on homepage,Africa on subpage,'Australia' on homepage,Australia on subpage,Africa on homepage,'Africa' on subpage
0,TrueAfrica,https://www.trueafrican.com/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1,AfricaTravelResource,https://africatravelresource.com/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
